Subset of Points	Shortest Path Predicted\shortest path predicted distance	Shortest Path Actual	actual shortest path distance	Predicted=Actual
[1, 4, 8, 9]	[0, 4, 9, 8, 1, 0]	231.65	[0, 1, 8, 9, 4, 0]	231.65	True
[1, 5, 6, 7]	[0, 5, 7, 6, 1, 0]	159.19	[0, 5, 1, 6, 7, 0]	157.83	False
[1, 5, 6, 8]	[0, 5, 8, 6, 1, 0]	254.38	[0, 5, 1, 6, 8, 0]	241.44	False
[1, 5, 6, 9]	[0, 5, 6, 1, 9, 0]	248.61	[0, 9, 6, 1, 5, 0]	234.48	False
[1, 5, 7, 8]	[0, 5, 8, 1, 7, 0]	244.17	[0, 8, 1, 7, 5, 0]	232.6	False
[1, 5, 7, 9]	[0, 5, 1, 7, 9, 0]	230.71	[0, 5, 7, 1, 9, 0]	215.74	False
[1, 5, 8, 9]	[0, 5, 1, 8, 9, 0]	229.83	[0, 5, 1, 8, 9, 0]	229.83	True
[1, 6, 7, 8]	[0, 7, 6, 8, 1, 0]	262.89	[0, 7, 1, 6, 8, 0]	254.12	False
[1, 6, 7, 9]	[0, 7, 6, 1, 9, 0]	252.15	[0, 9, 6, 1, 7, 0]	247.16	False
[1, 6, 8, 9]	[0, 9, 8, 6, 1, 0]	252.72	[0, 1, 6, 8, 9, 0]	252.72	True
[1, 7, 8, 9]	[0, 7, 1, 8, 9, 0]	242.51	[0, 7, 1, 8, 9, 0]	242.51	True
[2, 3, 4, 5]	[0, 4, 3, 2, 5, 0]	162.21	[0, 5, 2, 3, 4, 0]	162.21	True
[2, 3, 4, 6]	[0, 4, 3, 2, 6, 0]	188.1	[0, 4, 3, 2, 6, 0]	188.1	True
[2, 3, 4, 7]	[0, 4, 3, 2, 7, 0]	177.51	[0, 7, 2, 3, 4, 0]	177.51	True
[2, 3, 4, 8]	[0, 4, 3, 8, 2, 0]	209.36	[0, 2, 8, 3, 4, 0]	209.36	True
[2, 3, 4, 9]	[0, 4, 3, 2, 9, 0]	204.12	[0, 9, 2, 3, 4, 0]	204.12	True
[2, 3, 5, 6]	[0, 3, 2, 6, 5, 0]	188.11	[0, 3, 2, 6, 5, 0]	188.11	True
[2, 3, 5, 7]	[0, 3, 2, 7, 5, 0]	179.42	[0, 5, 7, 2, 3, 0]	179.42	True
[2, 3, 5, 8]	[0, 3, 8, 2, 5, 0]	216.04	[0, 5, 2, 8, 3, 0]	216.04	True
[2, 3, 5, 9]	[0, 3, 9, 2, 5, 0]	213.29	[0, 3, 9, 2, 5, 0]	213.29	True
[2, 3, 6, 7]	[0, 3, 2, 6, 7, 0]	191.65	[0, 3, 2, 6, 7, 0]	191.65	True
[2, 3, 6, 8]	[0, 3, 8, 2, 6, 0]	241.94	[0, 6, 2, 8, 3, 0]	241.94	True
[2, 3, 6, 9]	[0, 3, 9, 2, 6, 0]	239.18	[0, 3, 9, 2, 6, 0]	239.18	True
[2, 3, 7, 8]	[0, 3, 8, 2, 7, 0]	231.35	[0, 3, 8, 2, 7, 0]	231.35	True
[2, 3, 7, 9]	[0, 3, 9, 2, 7, 0]	228.59	[0, 3, 9, 2, 7, 0]	228.59	True
[2, 3, 8, 9]	[0, 3, 9, 8, 2, 0]	225.54	[0, 3, 2, 8, 9, 0]	223.05	False
[2, 4, 5, 6]	[0, 4, 2, 6, 5, 0]	186.64	[0, 5, 6, 2, 4, 0]	186.64	True
[2, 4, 5, 7]	[0, 4, 2, 7, 5, 0]	177.95	[0, 4, 2, 7, 5, 0]	177.95	True
[2, 4, 5, 8]	[0, 4, 8, 2, 5, 0]	216.04	[0, 5, 2, 8, 4, 0]	216.04	True
[2, 4, 5, 9]	[0, 4, 9, 2, 5, 0]	211.14	[0, 4, 9, 2, 5, 0]	211.14	True
[2, 4, 6, 7]	[0, 4, 2, 6, 7, 0]	190.18	[0, 4, 2, 6, 7, 0]	190.18	True
[2, 4, 6, 8]	[0, 4, 8, 2, 6, 0]	241.94	[0, 6, 2, 8, 4, 0]	241.94	True
[2, 4, 6, 9]	[0, 4, 9, 2, 6, 0]	237.04	[0, 6, 2, 9, 4, 0]	237.04	True
[2, 4, 7, 8]	[0, 4, 8, 2, 7, 0]	231.35	[0, 4, 8, 2, 7, 0]	231.35	True
[2, 4, 7, 9]	[0, 4, 9, 2, 7, 0]	226.45	[0, 4, 9, 2, 7, 0]	226.45	True
[2, 4, 8, 9]	[0, 4, 9, 8, 2, 0]	223.4	[0, 4, 2, 8, 9, 0]	221.58	False
[2, 5, 6, 7]	[0, 5, 7, 6, 2, 0]	191.54	[0, 2, 6, 7, 5, 0]	191.54	True
[2, 5, 6, 8]	[0, 5, 6, 2, 8, 0]	241.79	[0, 5, 6, 2, 8, 0]	241.79	True
[2, 5, 6, 9]	[0, 5, 6, 2, 9, 0]	234.68	[0, 5, 6, 2, 9, 0]	234.68	True
[2, 5, 7, 8]	[0, 5, 7, 2, 8, 0]	233.1	[0, 8, 2, 7, 5, 0]	233.1	True
[2, 5, 7, 9]	[0, 5, 7, 2, 9, 0]	225.99	[0, 5, 7, 2, 9, 0]	225.99	True
[2, 5, 8, 9]	[0, 5, 2, 8, 9, 0]	227.7	[0, 5, 2, 8, 9, 0]	227.7	True
[2, 6, 7, 8]	[0, 7, 6, 2, 8, 0]	245.33	[0, 8, 2, 6, 7, 0]	245.33	True
[2, 6, 7, 9]	[0, 7, 6, 2, 9, 0]	238.22	[0, 7, 6, 2, 9, 0]	238.22	True
[2, 6, 8, 9]	[0, 6, 2, 8, 9, 0]	253.6	[0, 6, 2, 8, 9, 0]	253.6	True
[2, 7, 8, 9]	[0, 7, 2, 8, 9, 0]	243.01	[0, 7, 2, 8, 9, 0]	243.01	True
[3, 4, 5, 6]	[0, 4, 3, 6, 5, 0]	169.2	[0, 5, 6, 3, 4, 0]	169.2	True
[3, 4, 5, 7]	[0, 4, 3, 7, 5, 0]	136.44	[0, 4, 3, 7, 5, 0]	136.44	True
[3, 4, 5, 8]	[0, 4, 3, 8, 5, 0]	212.36	[0, 5, 8, 3, 4, 0]	212.36	True
[3, 4, 5, 9]	[0, 4, 9, 3, 5, 0]	192.4	[0, 5, 3, 9, 4, 0]	192.4	True
[3, 4, 6, 7]	[0, 4, 3, 6, 7, 0]	172.74	[0, 4, 3, 6, 7, 0]	172.74	True
[3, 4, 6, 8]	[0, 4, 3, 8, 6, 0]	240.75	[0, 4, 3, 8, 6, 0]	240.75	True
[3, 4, 6, 9]	[0, 4, 3, 9, 6, 0]	238.15	[0, 4, 3, 9, 6, 0]	238.15	True
[3, 4, 7, 8]	[0, 4, 3, 8, 7, 0]	230.73	[0, 4, 3, 8, 7, 0]	230.73	True
[3, 4, 7, 9]	[0, 4, 3, 9, 7, 0]	217.91	[0, 4, 3, 9, 7, 0]	217.91	True
[3, 4, 8, 9]	[0, 4, 3, 8, 9, 0]	210.69	[0, 9, 8, 3, 4, 0]	210.69	True
[3, 5, 6, 7]	[0, 5, 7, 6, 3, 0]	174.65	[0, 3, 6, 7, 5, 0]	174.65	True
[3, 5, 6, 8]	[0, 5, 6, 8, 3, 0]	240.76	[0, 5, 6, 8, 3, 0]	240.76	True
[3, 5, 6, 9]	[0, 5, 6, 9, 3, 0]	238.16	[0, 3, 9, 6, 5, 0]	238.16	True
[3, 5, 7, 8]	[0, 5, 7, 8, 3, 0]	232.64	[0, 5, 7, 8, 3, 0]	232.64	True
[3, 5, 7, 9]	[0, 5, 7, 9, 3, 0]	219.82	[0, 3, 9, 7, 5, 0]	219.82	True
[3, 5, 8, 9]	[0, 5, 8, 9, 3, 0]	228.54	[0, 3, 9, 8, 5, 0]	228.54	True
[3, 6, 7, 8]	[0, 7, 6, 8, 3, 0]	244.3	[0, 3, 8, 6, 7, 0]	244.3	True
[3, 6, 7, 9]	[0, 7, 6, 9, 3, 0]	241.7	[0, 3, 9, 6, 7, 0]	241.7	True
[3, 6, 8, 9]	[0, 6, 8, 9, 3, 0]	256.93	[0, 3, 9, 8, 6, 0]	256.93	True
[3, 7, 8, 9]	[0, 7, 8, 9, 3, 0]	246.91	[0, 3, 9, 8, 7, 0]	246.91	True
[4, 5, 6, 7]	[0, 5, 7, 6, 4, 0]	165.45	[0, 5, 7, 6, 4, 0]	165.45	True
[4, 5, 6, 8]	[0, 5, 6, 8, 4, 0]	240.76	[0, 5, 6, 8, 4, 0]	240.76	True
[4, 5, 6, 9]	[0, 5, 6, 9, 4, 0]	236.02	[0, 5, 6, 9, 4, 0]	236.02	True
[4, 5, 7, 8]	[0, 8, 7, 5, 4, 0]	244.42	[0, 4, 8, 7, 5, 0]	232.64	False
[4, 5, 7, 9]	[0, 7, 5, 9, 4, 0]	223.76	[0, 5, 7, 9, 4, 0]	217.68	False
[4, 5, 8, 9]	[0, 5, 8, 9, 4, 0]	226.39	[0, 4, 9, 8, 5, 0]	226.39	True
[4, 6, 7, 8]	[0, 7, 6, 8, 4, 0]	244.3	[0, 4, 8, 6, 7, 0]	244.3	True
[4, 6, 7, 9]	[0, 7, 6, 9, 4, 0]	239.56	[0, 4, 9, 6, 7, 0]	239.56	True
[4, 6, 8, 9]	[0, 6, 8, 9, 4, 0]	254.78	[0, 6, 8, 9, 4, 0]	254.78	True
[4, 7, 8, 9]	[0, 7, 8, 9, 4, 0]	244.76	[0, 4, 9, 8, 7, 0]	244.76	True
[5, 6, 7, 8]	[0, 7, 6, 8, 5, 0]	257.63	[0, 5, 7, 6, 8, 0]	246.05	False
[5, 6, 7, 9]	[0, 7, 6, 9, 5, 0]	260.52	[0, 5, 7, 6, 9, 0]	239.1	False
